QUARTIER;CODE POSTAL
FLORIDA IMB ;20270
FLORIDA  VILLA ;20270
ADDAMANE;20460
ADMINISTRATIF;20220
AGENCE URBAINE;20260
AHL LOGHLAM;20620
AHL LOGHLAM;20640
AIN BORJA;20320
AIN CHIFA II ET III;20540
AIN CHOK;20470
AIN DIAB;20180
AIN SEBAA;20590
AL AMAL;20600
AL AZHAR;20620
AL BAIDA;20610
AL BAIDA;20370
AL FADL;20480
AL FIRDOUS;20220
AL FOUARATE;20570
AL IDAA;20480
AL KAOUTAR;20640
AL KODIA;20570
AL MASIRA;20350
AL MAWLID;20370
AL MOUSTAKBAL;20270
AL MOUWAHDDINE;20570
AL OSRE;20480
AL QODS;20610
AL WARD;20220
ALADARISSA;20270
ALHNAA;20280
ALOTHMANIA;20280
AMAL;20260
AMAL;20230
AMINE;20280
ANASSI;20630
ANASSI;20640
ANCIENNE MEDINA;20010
ANDALOUSS I;20470
ANDALOUSS II;20550
ANDALOUSSIA;20390
ANFA II;20370
ANFA II;20330
ANFA SUPÉRIEUR;20170
ANNAKHIL DIAR AL HANA;20630
ARTIZANA C DJEMAA BLOC 1 À 16;20430
ASSAFA;20240
ATTACHAROUK S1;20640
ATTACHAROUK S2;20640
ATTADAMOUNE;20240
ATTAOUN;20230
ATTAYSSIR;20350
AZHARI;20240
BACHKOU;20420
BALADIA;20510
BARAKA;20230
BARAKA 2;20640
BEAU LIEU;20580
BEAUCITE;20250
BEAUCITE HALIMA;20250
BEAUSEJOUR;20200
BEN JDIA LIBERTE;20120
BEN SLIMANE;20110
BERGER;20380
BERNOUSSI 2;20610
BIADA;20500
BINE LAMDOUNE;20470
BINE LAMDOUNE;20550
BIR ANZARANE;20520
BLOC HOFRA BLOC KHLIFA CD;20430
BLOCS FAR;20160
BOUCHRA;20280
BOUJDOUR;20510
BOURGOGNE;20040
BOURGOGNE;20050
CALIFORNIA;20150
CARRIER GHLIA;20630
CARRIER RHAMNER;20630
CARRIER SOKOUILA;20630
CARRIER ZARABA;20630
CARRIERE THOMAS;20640
CASA PLAISANCE;20050
CASTOR;20580
CHAHDIA;20240
CHANTIMAR;20370
CHARAF;20280
CHDIA;20230
CHIKASS;20610
CHNIDER;20220
CHRIFA;20460
CIEL;20210
CITÉ COURTIN;20340
CITÉ DE L’AIR;20220
CITE DEJMAA BLOC 20 À 23;20430
CITE DEJMAA BLOC 30 À 36;20430
CITE DEJMAA BLOC 7 À 29;20430
CITE DEJMAA BLOC ABCDEN;20430
CITE DJEMAA BLOC FGIMHKL;20430
CITE DJEMAA BLOC18 ET19 ET 37 À 42;20430
CITE PLATEAU;20390
DANDOUNE;20280
DAR LAMAN;20570
DERB BALADIA;20700
DERB BOUCHOUNTOUF;20550
DERB CHOURFA;20520
DERB DOUMA;20430
DERB EL KABIR;20500
DERB EL KHEIR;20470
DERB EL MANJRA;20500
DERB EL MITRE;20550
DERB FOKARA;20550
DERB FRAIHA;20430
DERB GHLEFF;20340
DERB JDID;20160
DERB KHALID;20440
DERB KHALIFA BEN MSIK;20450
DERB KHLID;20440
DERB KOREA;20520
DERB LAADAM;20430
DERB LAALOU H AL HOUDA;20440
DERB LAHJAR;20430
DERB MANJRA;20530
DERB MIMOUNA;20530
DERB MY CHARIF;20560
DERB OMAR SECTEUR 1;20080
DERB OMAR SECTEUR 2;20090
DERB SADNI;20530
DERB SALAMA;20430
DEUX MARS;20490
DIYAR;20160
DOUAR OULED JMEL;20180
DOUAR SI GHANEM;20180
DOUAR SIDI AHMED BELHCEN;20440
DOUAR SIDI BRAHIM;20050
DRISSIA I ET III;20530
DRISSIA II ET IV;20530
EDDOUHA AL FAAL;20250
EL ALIA;20240
EL HADIKA-HAY RAHMANI;20630
EL HANA;20210
EL HANK;20160
EL MANAR;20160
EL MANSOUR;20600
EMERANCE 2;20580
ESPÉRENCE 1 ET 2;20590
ESSAADA;20570
ESSAFA;20260
FAMILLE FRANÇAISE;20340
FARIDA;20600
FERARA;20240
FERME BRETANNE;20200
FIDA;20270
FRANCE VILLE;20390
GHAUTIER;20060
GRIGOUANE;20520
HABIBA;20260
HABOUS;20490
HADAKAT OUM RABII;20220
HADDAOUIA;20460
HADIKAT OUM RABIR;20220
HAJ FATEH;20260
HAKAR 1-2-3;20350
HAMZA;20270
HASSANIA;20240
HAT AL HOURIA;20400
HAY AL FATH 3;20480
HAY AL JAWHRA;20630
HAY AL KARIA;20400
HAY AL MANSSOUR;20450
HAY AL OURDA;20630
HAY AMAL;20530
HAY CHABAB;20480
HAY DAKHLA;20490
HAY EL BARAKA AL HOUDA;20650
HAY EL FARAH;20530
HAY EL FARAH;20540
HAY EL HANA;20210
HAY EL MASJID;20550
HAY ENNOUR;20700
HAY FALAH MASSIRA III;20660
HAY HASSANI;20230
HAY LA GARE;20310
HAY LA VILLETTE;20320
HAY MOHAMMADI;20570
HAY MOUSTABANO;20640
HAY MY ABDELLAH;20480
HAY OMAR IBN KHATTAB;20540
HAY PALESTINE;20300
HAY RAJA;20360
HAY RAJA;20420
HAY RAKBOUTE;20400
HAY ROCHE NOIRES;20290
HAY SADRI;20650
HAY SADRI MY RACHID I;20670
HAY SALAMA I;20670
HAY SALAMA III;20670
HAY SARAZANE;20630
HAY TISSIR;20530
HAY TIZNIT;20400
HDIOUI;20280
HOPITAUX;20360
HOPITAUX;20420
HOURIA;20230
HOUSNI;20270
IBN KHLDOUNE;20270
IDÉAL;20050
IFRIQUIA HAKAM2;20450
INARA I;20480
INARA II;20480
ITISSAL 1-2-3;20450
JAMILA;20230
JAMILA 1;20430
JAMILA 1 MASSOUDIA;20430
JAMILA 3;20430
JAMILA 4;20440
JAMILA 4 JAMILA 5;20440
JAMILA 5;20440
JAMILA 7 ET 6;20440
JAMILA1 KSAR BHAR;20430
JAWADI ALHAD ALJADID;20430
JNANATE;20280
KALOJIRA HASSANIA 1-2-3;20450
KASBAT AMINE;20190
KASTOR;20560
KATAFA;20600
KHAWRIZMI;20260
KHOUZAMA;20260
KRIKERE AL ADARISSA;20400
KRIMATE;20460
LA COLINE (SIDI MAAROUF);20150
LAAYOUNE;20510
LAGIDONDE;20500
LAHJAJMA;20160
LALLA MERIEM;20670
LANCHANG;20210
LAROUSSI – CHAMA;20530
LAYA;20200
LAYMOUNE;20190
LES CHAMPS D’ANFA;20050
LINA;20280
LISSASSFA 1;20190
LISSASSFA 2 3;20190
LOT AL WARDA;20580
LOT AZEMMOURI;20560
LOT CHEFCHAOUINI;20590
LOT FADL ET SAFIA;20640
LOT MERYEM;20400
LOT RÉDA;20400
LOT REYANE;20400
LOT SIKIBIA;20230
M?ALLA;20180
MAAGUIZE;20600
MAARIF;20330
MAARIF;20370
MAARIF EXTENTION;20370
MABROUKA;20280
MABROUKA D SAMIA;20670
MABROUKA MY LARBI ALAOUI;20670
MABROUKA SALAMA III;20670
MADINAT ENNOUR;20640
MADINATI;20620
MAHDIA;20340
MANDARONA;20460
MANDAROUNA;20270
MASSIRA;20660
MASSIRA II HAY RAJA II;20670
MASSIRA JDIDA;20660
MAZOLA;20220
MECHOUAR;20490
MEDINA 1;20020
MEDINA 2;20030
MERS SULTAN;20490
MERS SULTAN SECTEUR 1;20130
MERS SULTAN SECTEUR 2;20140
MIMARZA;20630
MIMOUSAS;20580
MISSIMI;20220
MY RACHID (IMMEBLE);20670
MY RACHID G3;20660
MY RACHID G5 ET 6;20660
MY RACHID GROUP 1;20660
MY RACHID II DIAR ESSALAM;20670
MY THAMI;20240
M’ZOUGA;20170
NADIA;20390
NAJAM;20280
NASSIM;20190
NEJMA;20230
NEZHA;20580
OASIS;20410
OMARIA;20460
OPERATION LISSASSFA;20190
OULED TALEB;20460
OULFA;20220
PALMIER;20340
PALOMA 1 ET 2;20580
PAM;20280
PANORAMA;20620
PARANFA;20170
PARC DE LA LEAGUE ARABE;20070
PARTIE DE CASA GARE;20560
POLO;20420
PROJET HASSAN II;20570
RÉSIDANCE AL ITIMADE;20630
RÉSIDANCE AL AMAL AL WAHA;20630
RÉSIDANCE ANSSAE;20520
RÉSIDANCE CHARAF TAROUDANTE;20640
RÉSIDANCE KARAM DALIA;20630
RÉSIDANCE MERS ZINEB 1 ET 2;20400
RÉSIDANCE YAKINE AL AL ALAA;20640
RACINE;20100
RAHA;20200
RAJA;20230
RIAD CALIFORNIA;20420
RIAD EL ALI;20550
RIAD OULFA;20240
RIVIERA;20410
RIYAD ANFA;20050
R’MILLA;20470
ROKIA;20280
ROMANDIE;20330
ROUTE BEN SLIMANE KM 65 À 82;20640
S.OTHMANE BALADIA;20700
S.OTHMANE JDID;20700
SAAD LA KHIER;20230
SAADA;20280
SALAJ;20180
SALAMA III;20670
SALMIA I H ENNOUR I;20440
SALMIA II;20700
SALMIA II FERREILLE;20700
SDI BERNOUSSI;20610
SIDI ABDELLAH BEN LHAJ;20580
SIDI ABDERRAHMANE;20240
SIDI BELYOUT  HORLOGE;20000
SIDI BERNOUSSI;20600
SIDI KHADIR;20230
SIDI MAAROUF 5;20520
SIDI MAARTOUF 4 ET 6;20520
SIDI MOUMEN JDID G 7-8-9;20400
SIDI MOUMEN JDID G1-2;20400
SIDI MOUMEN JDID G3-4-5;20400
SIDI MOUMEN LAKDIM;20400
SIDI MOUMEN LAKDIM;20640
SIDI OTHMANE;20700
SIDI OTHMANE 1;20700
SMARA;20240
SOUFIANE;20280
SOUK KOREA;20520
TAKADOUM;20560
TAKADOUM;20600
TARIK;20600
TARIK EL KHEIR;20610
TASSAHOUL;20160
TOULOUTE BRAICHA;20050
VAL D’ANFA;20170
VAL FLEURIE;20390
WARDA;20230
WIAM;20240
WIDAD;20230
WIFAK 1 ET 2;20240
WIFAK 3 ET 4;20240
YASMINA;20480
Z I HAY RAHMA;20660
Z.I AIN SEBAA;20590
Z.I BERNOUSSI;20590
ZAKIA;20280
ZARHOUNE WALILI;20630
ZENATA;20610
ZENATA;20580
ZINEB;20260
ZONE INDUSTRIELLE;20280
ZONE INDUSTRIELLE;20270
ZONE INDUSTRIELLE;20190
ZONE INDUSTRIELLE OUKACHA;20580
ZOUBAIR;20260
